FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,Target
74,16,184,23,202,mild
127,200,157,294,222,severe
252,36,220,236,174,moderate
230,98,249,53,165,moderate
284,226,242,93,2,moderate
245,46,237,247,287,severe
94,96,241,63,195,moderate
23,37,18,117,1,mild
92,55,163,263,15,moderate
228,107,196,199,40,moderate
245,287,99,204,204,severe
243,265,65,47,173,moderate
143,262,283,53,143,moderate
130,97,49,44,19,mild
82,168,214,287,201,moderate
81,60,194,99,233,moderate
80,52,23,17,29,mild
135,201,21,6,241,moderate
136,107,88,297,231,moderate
281,148,25,260,204,moderate
280,165,247,6,196,moderate
263,292,233,53,183,severe
295,11,281,147,276,severe
178,47,167,291,105,moderate
131,293,19,139,185,moderate
109,290,117,277,246,severe
211,66,253,273,244,severe
236,90,226,50,17,moderate
206,13,162,112,80,moderate
49,4,294,67,101,moderate
118,141,245,216,96,moderate
237,295,59,104,193,moderate
102,57,201,153,177,moderate
71,0,245,102,128,moderate
200,164,179,268,135,moderate
172,131,227,113,234,moderate
120,162,231,103,44,moderate
179,110,95,138,281,moderate
288,19,34,180,48,moderate
157,298,160,274,266,severe
101,27,28,160,169,mild
76,141,134,110,113,moderate
123,156,162,226,179,moderate
16,28,171,257,200,moderate
57,181,107,169,154,moderate
197,168,150,176,35,moderate
14,58,49,38,73,mild
137,2,41,125,275,moderate
250,215,209,183,211,severe
23,241,151,37,6,mild
213,196,74,114,168,moderate
19,54,117,236,159,moderate
169,8,185,250,139,moderate
113,230,297,165,64,moderate
45,2,30,108,96,mild
258,3,38,297,291,moderate
279,7,241,207,139,moderate
60,263,284,30,208,moderate
161,279,89,182,43,moderate
115,263,111,207,174,moderate
235,210,138,183,249,severe
177,11,213,64,123,moderate
177,5,242,161,40,moderate
183,10,31,210,61,mild
162,175,109,76,157,moderate
191,166,177,261,58,moderate
1,136,248,52,199,moderate
139,151,206,87,154,moderate
116,154,124,258,1,moderate
135,161,106,55,204,moderate
177,128,259,84,59,moderate
273,43,58,255,200,moderate
124,124,42,5,193,mild
260,135,188,200,97,moderate
261,160,29,94,139,moderate
253,134,32,101,158,moderate
71,299,289,266,32,moderate
138,35,291,29,163,moderate
112,256,11,202,242,moderate
70,187,256,227,228,moderate
280,40,223,40,91,moderate
252,106,161,63,158,moderate
243,143,68,126,66,moderate
180,150,263,282,108,moderate
85,34,291,36,285,moderate
47,200,130,158,139,moderate
127,49,280,47,163,moderate
40,62,246,26,223,moderate
122,235,204,117,93,moderate
283,267,24,218,18,moderate
123,118,283,266,116,moderate
83,193,53,123,15,mild
81,172,200,146,69,moderate
122,250,110,59,271,moderate
162,281,36,158,150,moderate
152,249,76,267,23,moderate
259,273,25,2,243,moderate
173,77,202,220,119,moderate
124,268,123,258,40,moderate
292,81,46,4,227,moderate
279,196,131,294,14,moderate
205,257,229,278,221,severe
134,13,75,88,22,mild
78,189,261,145,15,moderate
153,142,173,250,28,moderate
50,58,291,108,215,moderate
0,125,170,144,296,moderate
214,232,296,169,109,severe
12,47,91,213,133,mild
292,75,205,49,66,moderate
293,99,169,203,243,severe
161,67,100,66,142,moderate
